X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,Año,Claseaccid,Cód_Regi,Tipo_Accid,Tipo__CONA,Cód_Zona,Zona,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7867579.31757471,-3959972.75392283,67,-70.6756675,-33.48586,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,ANTONIO ACEVEDO HERNANDEZ,CARLOS MARX,0,"ANTONIO ACEVEDO HERNANDEZ & CARLOS MARX, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867568.98712597,-3957479.09159992,68,-70.6755747,-33.4671751,REGION METROPOLITANA,13101,SANTIAGO,SAN VICENTE,GASPAR DE LA BARRERA,0,"SAN VICENTE & GASPAR DE LA BARRERA, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867568.17449369,-3955170.24182903,69,-70.6755674,-33.4498714,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS,MAIPU,0,"LIBER BERNARDO O'HIGGINS & MAIPU, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,1,3,2
-7867566.88318759,-3955204.33009493,70,-70.6755558,-33.4501269,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS,BASCUNAN GUERRERO,0,"LIBER BERNARDO O'HIGGINS & BASCUNAN GUERRERO, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,1,1
-7867563.48794312,-3962322.34592504,71,-70.6755253,-33.5034617,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,CLUB HIPICO,ALHUE,0,"CLUB HIPICO & ALHUE, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,2,1,1
-7867543.00515682,-3949579.09703116,72,-70.6753413,-33.4079542,REGION METROPOLITANA,13108,INDEPENDENCIA,CHILLAN,LAS CANAS,0,"CHILLAN & LAS CANAS, INDEPENDENCIA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867539.43180116,-3959476.6317629,73,-70.6753092,-33.4821429,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,JOSE BACKAUSE,PEDRO SUBERCASEAUX,0,"JOSE BACKAUSE & PEDRO SUBERCASEAUX, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,1,0,1,1
-7867531.7284924,-3922473.20294407,74,-70.67524,-33.2044528,REGION METROPOLITANA,13301,COLINA,INMACULADA CONCEPCION, ,58,"INMACULADA CONCEPCION 58, COLINA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867507.93951722,-3966383.30871452,75,-70.6750263,-33.5338755,REGION METROPOLITANA,13109,LA CISTERNA,AMERICO VESPUCIO,INDUSTRIA,0,"AMERICO VESPUCIO & INDUSTRIA, LA CISTERNA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,0,1
-7867486.86673761,-3952968.61936213,76,-70.674837,-33.4333681,REGION METROPOLITANA,13101,SANTIAGO,ANDES,LIBERTAD,0,"ANDES & LIBERTAD, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,2,1
-7867481.32302697,-3960605.64722943,77,-70.6747872,-33.4906016,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,CLOTARIO BLEST,LA MARINA,0,"CLOTARIO BLEST & LA MARINA, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,2,2,2
-7867477.9500464,-3960596.77078668,78,-70.6747569,-33.4905351,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,CLOTARIO BLEST,30 DE OCTUBRE,0,"CLOTARIO BLEST & 30 DE OCTUBRE, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,1,0,0,0,1,1
-7867473.57519041,-3960440.2929009,79,-70.6747176,-33.4893628,REGION METROPOLITANA,13127,RECOLETA,RECOLETA,CARD JOSE MARIA CARO,0,"RECOLETA & CARD JOSE MARIA CARO, RECOLETA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,1,0,1,1
-7867449.73055548,-3953455.4981453,80,-70.6745034,-33.437018,REGION METROPOLITANA,13101,SANTIAGO,LIBERTAD,ROSAS,0,"LIBERTAD & ROSAS, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,1,0,1
-7867440.83612817,-3952210.16226864,81,-70.6744235,-33.427682,REGION METROPOLITANA,13101,SANTIAGO,PDTE BALMACEDA, ,2720,"PDTE BALMACEDA 2720, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,0,1,1
-7867431.78585356,-3956296.76877283,82,-70.6743422,-33.4583146,REGION METROPOLITANA,13101,SANTIAGO,BLANCO ENCALADA, ,2849,"BLANCO ENCALADA 2849, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867391.55498959,-3947448.61457102,83,-70.6739808,-33.3919765,REGION METROPOLITANA,13104,CONCHALI,TTE YAVAR, ,1781,"TTE YAVAR 1781, CONCHALI",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867391.49932985,-3922109.49724383,84,-70.6739803,-33.201719,REGION METROPOLITANA,13301,COLINA,CHACABUCO,GRAL SAN MARTIN,0,"CHACABUCO & GRAL SAN MARTIN, COLINA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,2,1,1
-7867358.44857303,-3968854.08889093,85,-70.6736834,-33.5523747,REGION METROPOLITANA,13105,EL BOSQUE,LUIS BARROS BORGONO,GRAN AVDA JOSE MIGUEL CARRERA,0,"LUIS BARROS BORGONO & GRAN AVDA JOSE MIGUEL CARRERA, EL BOSQUE",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,1,0,1,1
-7867356.77878067,-3955098.85025195,86,-70.6736684,-33.4493363,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS,ESTADO,0,"LIBER BERNARDO O'HIGGINS & ESTADO, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,1,1
-7867350.88997961,-3948676.63733555,87,-70.6736155,-33.4011865,REGION METROPOLITANA,13108,INDEPENDENCIA,3 DE DICIEMBRE, ,2886,"3 DE DICIEMBRE 2886, INDEPENDENCIA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
