X,Y,FID,Región,Comuna,Tipo__CONA,Calle_Uno,Calle_Dos,Número,Zona,Latitude,Longitude,Cant__Sini,Fallecidos,Lesionados,Graves,Menos_grav,Leves
-7873904.10142337,-3980164.5910431,111,REGION METROPOLITANA,SAN BERNARDO,COLISION,STA TERESA DE TANGO,EL BARRANCON,-,URBANA,-33.637008,-70.732484,1,0,1,0,0,1
-7871033.06043632,-3974191.58138705,112,REGION METROPOLITANA,SAN BERNARDO,COLISION,URMENETA,ARTURO PRAT,-,URBANA,-33.592324,-70.706693,1,0,0,0,0,0
-7871441.38032855,-3979450.08360565,113,REGION METROPOLITANA,SAN BERNARDO,OTRO TIPO,PDTE JORGE ALESSANDRI RODRIGUEZ,-,20040,URBANA,-33.631664,-70.710361,1,0,0,0,0,0
-7868183.50411099,-3975053.17510388,114,REGION METROPOLITANA,SAN BERNARDO,VOLCADURA,PADRE HURTADO,CONDELL,-,URBANA,-33.598771,-70.681095,1,0,0,0,0,0
-7871485.12888843,-3969713.98803843,115,REGION METROPOLITANA,SAN BERNARDO,VOLCADURA,PDTE JORGE ALESSANDRI RODRIGUEZ,LAS ACACIAS,-,URBANA,-33.558812,-70.710754,1,0,1,0,0,1
-7862922.09969814,-3959227.99798,116,REGION METROPOLITANA,SAN JOAQUIN,CHOQUE,CARMEN,-,2777,URBANA,-33.48028,-70.633831,1,0,0,0,0,0
-7861197.87210524,-3962034.29596921,117,REGION METROPOLITANA,SAN JOAQUIN,COLISION,CAP PRAT,EMCO,-,URBANA,-33.501304,-70.618342,1,0,1,0,0,1
-7859649.97458577,-3963051.18656097,118,REGION METROPOLITANA,SAN JOAQUIN,COLISION,DEPARTAMENTAL,LAS INDUSTRIAS,-,URBANA,-33.508921,-70.604437,1,0,1,1,0,0
-7861654.72729546,-3960689.92694109,119,REGION METROPOLITANA,SAN JOAQUIN,COLISION,EL PINAR,1 DE MAYO,-,URBANA,-33.491233,-70.622446,1,0,1,0,0,1
-7863100.99011985,-3963801.93005989,120,REGION METROPOLITANA,SAN JOAQUIN,COLISION,EL PRADO,PARSIFAL,-,URBANA,-33.514544,-70.635438,1,0,1,1,0,0
-7862434.18636999,-3960169.62828422,121,REGION METROPOLITANA,SAN JOAQUIN,COLISION,LAS INDUSTRIAS,FRANCIS DRAKE,-,URBANA,-33.487335,-70.629448,1,0,1,0,0,1
-7862334.33278675,-3961345.20554469,122,REGION METROPOLITANA,SAN JOAQUIN,COLISION,LAS INDUSTRIAS,PDTE SALVADOR ALLENDE,-,URBANA,-33.496142,-70.628551,1,0,1,0,0,1
-7862581.5733758,-3959296.8658606,123,REGION METROPOLITANA,SAN JOAQUIN,COLISION,SIERRA BELLA,ISABEL RIQUELME,-,URBANA,-33.480796,-70.630772,1,0,1,0,0,1
-7863463.55770136,-3962829.96485559,124,REGION METROPOLITANA,SAN JOAQUIN,COLISION,STA ROSA,DEPARTAMENTAL,-,URBANA,-33.507264,-70.638695,1,0,1,0,0,1
-7863271.08630178,-3964130.92142296,125,REGION METROPOLITANA,SAN JOAQUIN,COLISION,STA ROSA,SEBASTOPOL,-,URBANA,-33.517008,-70.636966,1,0,1,1,0,0
