FID,Año,Claseaccid,Cód_Regi,Región,Comuna,Cód_Zona,Zona,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Siniestros,Fallecidos,Graves,Menos_grav,Leves,Ilesos
105,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,14 DE LA FAMA,FERMIN VIVACETA,14 DE LA FAMA - FERMIN VIVACETA,0, , ,1,0,0,0,1,1
106,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,BARON DE JURAS REALES,ROMA,BARON DE JURAS REALES - ROMA,0, , ,1,0,0,1,0,1
107,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,CARD JOSE MARIA CARO,PUNTIAGUDO,CARD JOSE MARIA CARO - PUNTIAGUDO,0, , ,1,0,0,0,1,0
108,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,DORSAL,FERMIN VIVACETA,DORSAL - FERMIN VIVACETA,0, , ,1,0,0,0,1,1
109,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,EL GUANACO,BOSQUE DE ARAUCO,BOSQUE DE ARAUCO - EL GUANACO,0, , ,1,0,0,0,1,1
110,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,EL GUANACO,DORSAL,DORSAL - EL GUANACO,0, , ,1,0,1,0,0,1
111,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,FERMIN VIVACETA,CANETE,CANETE - FERMIN VIVACETA,0, , ,1,0,0,0,1,1
112,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,INDEPENDENCIA, ,- INDEPENDENCIA,4142, , ,1,0,0,0,1,1
113,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,INDEPENDENCIA,CARD JOSE MARIA CARO,CARD JOSE MARIA CARO - INDEPENDENCIA,0, , ,1,1,0,0,0,1
114,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,INDEPENDENCIA,CORBETA ESMERALDA,CORBETA ESMERALDA - INDEPENDENCIA,0, , ,2,0,1,0,1,1
115,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,INDEPENDENCIA,DORSAL,DORSAL - INDEPENDENCIA,0, , ,1,0,0,0,1,0
116,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,ISABEL CARRERA,CARD JOSE MARIA CARO,CARD JOSE MARIA CARO - ISABEL CARRERA,0, , ,1,0,0,0,1,1
117,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,JULIO MONTT SALAMANCA, ,- JULIO MONTT SALAMANCA,6024, , ,1,0,0,0,1,1
118,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,PDTE EDUARDO FREI MONTALVA,LOS ZAPADORES,LOS ZAPADORES - PDTE EDUARDO FREI MONTALVA,0, , ,1,1,0,0,0,1
119,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,PEDRO FONTOVA, ,- PEDRO FONTOVA,4839, , ,1,0,1,0,0,1
120,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,PEDRO FONTOVA,CALLE G,CALLE G - PEDRO FONTOVA,0, , ,1,0,0,1,0,0
121,2022,1,13,REGION METROPOLITANA,CONCHALI,1,URBANA,PILOTO PARDO,ELISA UNDURRAGA,ELISA UNDURRAGA - PILOTO PARDO,0, , ,1,0,1,0,1,0
122,2022,1,13,REGION METROPOLITANA,CURACAVI,1,URBANA,AMBROSIO O'HIGGINS,ISABEL RIQUELME,AMBROSIO O'HIGGINS - ISABEL RIQUELME,0, , ,1,0,0,1,0,1
123,2022,1,13,REGION METROPOLITANA,CURACAVI,1,URBANA,JAVIERA CARRERA,CUYUNCAVI,CUYUNCAVI - JAVIERA CARRERA,0, , ,1,0,1,0,0,0
124,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,ALEJANDRO GUZMAN,AYMARA,ALEJANDRO GUZMAN - AYMARA,0, , ,1,0,0,0,1,1
125,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,ALEJANDRO GUZMAN,GRAN AVDA JOSE MIGUEL CARRERA,ALEJANDRO GUZMAN - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,0,0,1,1
126,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,CAP DANILO VICENCIO, ,- CAP DANILO VICENCIO,675, , ,1,0,0,1,0,1
127,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,CENTRAL,LOS BOLDOS,CENTRAL - LOS BOLDOS,0, , ,1,0,0,0,2,1
128,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,CENTRAL,LOS MORROS,CENTRAL - LOS MORROS,0, , ,1,0,0,1,0,1
129,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,CLAUDIO ARRAU,BEETHOVEN,BEETHOVEN - CLAUDIO ARRAU,0, , ,1,0,0,0,2,1
130,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,EL PILLAN,JAVIERA CARRERA,EL PILLAN - JAVIERA CARRERA,0, , ,1,0,0,0,1,1
131,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,FRANCISCO DE CAMARGO,LO MORENO,FRANCISCO DE CAMARGO - LO MORENO,0, , ,2,0,0,0,2,2
132,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,GRAL KORNER,GRAN AVDA JOSE MIGUEL CARRERA,GRAL KORNER - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,1,0,0,1
133,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA, ,- GRAN AVDA JOSE MIGUEL CARRERA,9669, , ,1,0,0,0,2,1
