X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,Año,Claseaccid,Cód_Regi,Cód_Comun,Cód_Zona,Zona,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7862419.59238475,-3972155.07110639,410,-70.6293169,-33.5770836,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA,LO MARTINEZ,0,"STA ROSA & LO MARTINEZ, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,0,0,2,2,23,15
-7862392.29684561,-3952800.1061,411,-70.6290717,-33.4321048,REGION METROPOLITANA,13123,PROVIDENCIA,BELLAVISTA, ,415,"BELLAVISTA 415, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,0,10,5
-7862364.87885503,-3972934.26738163,412,-70.6288254,-33.5829151,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA,BALDOMERO LILLO,0,"STA ROSA & BALDOMERO LILLO, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,1,5,0,7,11,12
-7862358.82307473,-3973289.30919398,413,-70.628771,-33.5855721,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA,GABRIELA,0,"STA ROSA & GABRIELA, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,0,4,0,7,27,19
-7862334.33278675,-3961345.16561398,414,-70.628551,-33.4961417,REGION METROPOLITANA,13129,SAN JOAQUIN,LAS INDUSTRIAS,PDTE SALVADOR ALLENDE,0,"LAS INDUSTRIAS & PDTE SALVADOR ALLENDE, SAN JOAQUIN",CHILE,2021,1,13,13129,1,URBANA,0,1,0,5,13,8
-7862320.15068363,-3953192.747269,415,-70.6284236,-33.4350483,REGION METROPOLITANA,13123,PROVIDENCIA,PROVIDENCIA,CONDELL,0,"PROVIDENCIA & CONDELL, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,2,8,5
-7862290.31706009,-3973697.97491885,416,-70.6281556,-33.5886303,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA,LO BLANCO,0,"STA ROSA & LO BLANCO, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,0,0,0,6,8,6
-7862244.35324234,-3974560.85479599,417,-70.6277427,-33.5950872,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA,EL OMBU,0,"STA ROSA & EL OMBU, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,0,4,1,10,16,15
-7862207.94063691,-3955893.68175613,418,-70.6274156,-33.4552936,REGION METROPOLITANA,13120,NUNOA,MANUEL ANTONIO MATTA,SAN EUGENIO,0,"MANUEL ANTONIO MATTA & SAN EUGENIO, ??ªU??ªOA",CHILE,2021,1,13,13120,1,URBANA,0,2,0,2,4,5
-7862198.3448968,-3975221.66595011,419,-70.6273294,-33.6000317,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA,PAICAVI,0,"STA ROSA & PAICAVI, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,0,0,1,4,3,5
