X,Y,FID,Región,Comuna,Tipo__CONA,Calle_Uno,Calle_Dos,Número,Latitude,Longitude,Cant__Sini,Fallecidos,Lesionados,Graves,Menos_grav,Leves
-7854688.79883958,-3968621.7093688,125,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,LAGO TODOS LOS SANTOS,-,-33.550635,-70.55987,1,0,1,0,1,0
-7855380.87211384,-3968544.37082157,126,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,LAGO YELCHO,-,-33.550056,-70.566087,1,0,1,0,0,1
-7852321.1445899,-3974318.27051489,127,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,PASO ALTO ORIENTE,-,-33.593272,-70.538601,1,0,0,0,0,0
-7843721.26864815,-3972531.92202964,128,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMINO AL VOLCAN,-,7799,-33.579904,-70.461347,1,0,0,0,0,0
-7859739.0301784,-3974060.88456867,129,REGION METROPOLITANA,PUENTE ALTO,COLISION,CANAL JARDIN ALTO,CANAL MONTINO,-,-33.591346,-70.605237,1,0,0,0,0,0
-7853965.89006637,-3972535.2624889,130,REGION METROPOLITANA,PUENTE ALTO,COLISION,CANELA ALTA,PAINE,-,-33.579929,-70.553376,1,0,1,0,0,1
-7856711.80794577,-3975317.13208793,131,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,-,1060,-33.600746,-70.578043,2,0,0,0,0,0
-7856835.70653902,-3974385.75843514,132,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,-,1478,-33.593777,-70.579156,1,0,0,0,0,0
-7856832.47827379,-3974650.90292157,133,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,-,1820,-33.595761,-70.579127,1,0,0,0,0,0
-7857024.83835388,-3973417.44484264,134,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,-,2648,-33.586531,-70.580855,1,0,1,1,0,0
-7857124.02402017,-3972255.06812978,135,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,-,3459,-33.577832,-70.581746,5,0,3,2,1,0
-7857326.40285444,-3972120.51846552,136,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,-,3626,-33.576825,-70.583564,1,0,1,0,0,1
-7857243.24719481,-3971600.5061192,137,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,-,3779,-33.572933,-70.582817,1,0,1,0,0,1
-7857454.42026885,-3971360.68304237,138,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,-,3854,-33.571138,-70.584714,1,0,1,1,0,0
-7856715.37016947,-3975062.93138102,139,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,CIRCUNVALACION,-,-33.598844,-70.578075,1,0,1,0,0,1
-7856609.39401424,-3975600.47491977,140,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,DOMINGO TOCORNAL,-,-33.602866,-70.577123,1,0,0,0,0,0
-7856660.15570204,-3975273.96301326,141,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,INDEPENDENCIA,-,-33.600423,-70.577579,1,0,0,0,0,0
-7857289.333464,-3971367.76409799,142,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,JACARANDA,-,-33.571191,-70.583231,1,0,1,0,0,1
-7858317.48028097,-3973467.42205219,143,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,LOS CASTAÑOS,-,-33.586905,-70.592467,1,0,1,0,0,1
-7857328.62924425,-3971129.54908542,144,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,LOS TOROS,-,-33.569408,-70.583584,1,0,0,0,0,0
-7857267.06956584,-3971508.58448424,145,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,PARQUE EL ARRAYAN,-,-33.572245,-70.583031,2,0,0,0,0,0
-7856712.36454322,-3974944.7874298,146,REGION METROPOLITANA,PUENTE ALTO,COLISION,CONCHA Y TORO,SAN CARLOS,-,-33.59796,-70.578048,1,0,1,1,0,0
-7855739.3208742,-3972082.30504373,147,REGION METROPOLITANA,PUENTE ALTO,COLISION,CORDILLERA,LAS VIOLETAS,-,-33.576539,-70.569307,1,0,0,0,0,0
